,owner,repo,commit_sha,source
103,groovybits,gaib,887e8edf7f6ce112af4790ac5f45c629b05e3225,repo_summary.json
104,h2oai,h2ogpt,15f3a2d564541020f78cfc83bc90722dcda8a960,repo_summary.json
105,hamelsmu,chat-langchain,8252cc469335da08230afb049cdc7dfb178c328b,repo_summary.json
106,haotian-liu,LLaVA,main,repo_summary.json
107,fangyinc,DB-GPT,f317740d5557b56899d1a3e786ca7cc583fdd700,repo_summary.json
108,hlohaus,Agent-LLM,d8a46dacea35c6224effd3e733d5c085bea1949a,repo_summary.json
109,hiyouga,LLaMA-Factory,8c74dca76a813129c175489c85bf50e2c614091f,repo_summary.json
110,huggingface,pytorch-image-models,main,repo_summary.json
111,huggingface,peft,main,repo_summary.json
112,huggingface,trl,1dc8bbca025ede5d964f6080eef5eea74819cbfb,repo_summary.json
113,fighting41love,funNLP,master,repo_summary.json
114,iMagist486,ElasticSearch-Langchain-Chatglm2,304d3d204a00782a0078fd76be232fa5802f4307,repo_summary.json
115,imartinez,privateGPT,2f3aab9cfdc139f399387dbb90300d5a8bf8d2f1,repo_summary.json
116,intel,ipex-llm,main,repo_summary.json
117,huggingface,transformers,b62e5b3e4060c07b0e595f670135d85bb51673fe,repo_summary.json
118,jadore801120,attention-is-all-you-need-pytorch,master,repo_summary.json
119,hzg0601,langchain-ChatGLM-annotation,da8085ba5fcb89a2e665cd3fde28cdafa38b9c29,repo_summary.json
120,jessevig,bertviz,master,repo_summary.json
121,jina-ai,clip-as-service,main,repo_summary.json
122,joaocarlosleme,chat-langchain,362e71c016d70022a6b1d067e0cddbe1a6ef496e,repo_summary.json
123,jzhang38,TinyLlama,main,repo_summary.json
124,karpathy,minGPT,master,repo_summary.json
125,jacobgil,pytorch-grad-cam,master,repo_summary.json
126,kroll-software,babyagi4all,3dc42659eb5cb51dbea71b565ce09f61a130cc20,repo_summary.json
127,comet-ml,opik,main,repo_summary.json
128,khoj-ai,khoj,master,repo_summary.json
129,langchain-ai,chat-langchain,a875a649109ad7c3d68d7e9b75508f687e627ca4,repo_summary.json
130,junruxiong,IncarnaMind,75564a3bf08d0006387889cdc9a76fc509ededd8,repo_summary.json
131,lucidrains,DALLE2-pytorch,main,repo_summary.json
132,lss233,kirara-ai,master,repo_summary.json
133,lucidrains,vit-pytorch,main,repo_summary.json
134,ludwig-ai,ludwig,master,repo_summary.json
135,marella,chatdocs,ff0f962972ba65f0bccbf2e81875a95bae7473b5,repo_summary.json
136,matigumma,bb.agi,9af4396c1c97b0de3fc47ceb35ff8e4489be6254,repo_summary.json
137,mattzcarey,code-review-gpt,87bce4d443c869eb3da09e5a2c11b1a79c5e5d6a,repo_summary.json
138,mayooear,gpt4-pdf-chatbot-langchain,66d183f6b207fa1d92153a430c620c58b01e9b1c,repo_summary.json
139,mayooear,private-chatbot-mpt30b-langchain,dbb888a2d5f1eaf6256ffab53e4ec0b766a86a3f,repo_summary.json
140,mckaywrigley,chatbot-ui,f4ec4df77f650fa650535c6b934d4a1775cf491a,repo_summary.json
141,menloparklab,privateGPT-app,028c81038dec2f923477812f7c7f7d48706fa7a9,repo_summary.json
142,meta-llama,llama,main,repo_summary.json
143,meta-llama,llama-models,main,repo_summary.json
144,lucidrains,PaLM-rlhf-pytorch,main,repo_summary.json
145,labring,FastGPT,05bf1b22653f8699b85098db3e86a7f29bdc2895,repo_summary.json
146,meta-llama,llama3,main,repo_summary.json
147,microsoft,Swin-Transformer,main,repo_summary.json
148,miurla,babyagi-ui,3f71b1bd4edea6eb2a063d2ccf540fa309114925,repo_summary.json
149,microsoft,markitdown,main,repo_summary.json
150,mouredev,Hello-Python,main,repo_summary.json
151,modelscope,ms-swift,main,repo_summary.json
152,meta-llama,llama-stack,main,repo_summary.json
153,openai,openai-agents-python,main,repo_summary.json
154,openai,openai-python,main,repo_summary.json
155,openai,baselines,master,repo_summary.json
156,openai,swarm,main,repo_summary.json
157,openai,tiktoken,main,repo_summary.json
158,oshoura,IslamAI,d39fad996040c1fe7917b330996620380b9028af,repo_summary.json
159,qodo-ai,pr-agent,main,repo_summary.json
160,oumi-ai,oumi,9094a4c940dbad24aff1fa1a486db6608234b42c,repo_summary.json
161,ranfysvalle02,chatdocs-mdb,6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,repo_summary.json
162,realminchoi,babyagi-langchain,8173232f8abd09f9b9f8942f0b1cd44327cf66b7,repo_summary.json
163,realrasengan,AIQA,fb86f8c48978bd218df62f6bf034463f0034b426,repo_summary.json
164,qubvel-org,segmentation_models.pytorch,main,repo_summary.json
165,neuml,txtai,master,repo_summary.json
166,run-llama,rags,main,repo_summary.json
167,robiwan303,babyagi,9c22f053675710094576bfc4e6527f59a50e6ac2,repo_summary.json
168,sagarsaija,gpt4-pdf-chatbot-langchain-chroma,259d5cb6510b0c06b93389810671d73482f9a37c,repo_summary.json
169,saten-private,BabyCommandAGI,993f7075479d4d89948410bfec0c4c18d4a06b0c,repo_summary.json
170,labmlai,annotated_deep_learning_paper_implementations,master,repo_summary.json
171,simonw,llm,main,repo_summary.json
172,sgl-project,sglang,main,repo_summary.json
173,starsnatched,MemGPT-multimodal,82b9b74efa9ad2a04dc531b0ef77a9e229e86e00,repo_summary.json
174,sczhou,CodeFormer,master,repo_summary.json
175,stas00,ml-engineering,master,repo_summary.json
176,sw5park,LUISE,e88343c1e2d1c634a33838500e6cc72aa97fdeaa,repo_summary.json
177,szpnygo,VecTextSearch,ec6a1a2861b1399b3463026980c02507702d3508,repo_summary.json
178,ushakrishnan,SearchWithOpenAI,470a5d10f786efbac2feab18330c69365a937599,repo_summary.json
179,unslothai,unsloth,d5b61a6bc6d546ca6afa9043f9c4b15713ecac62,repo_summary.json
180,speechbrain,speechbrain,develop,repo_summary.json
181,vllm-project,vllm,62be3670cb97e7196c30be26fe347d12d183429c,repo_summary.json
182,wzpan,wukong-robot,master,repo_summary.json
183,vmayoral,PentestGPT,58e80fa92dea24da3d4899aa625b7683100720da,repo_summary.json
184,xtekky,gpt4free,main,repo_summary.json
185,yangchuansheng,DocsGPT,595581b624b54046d756ad28bc845521ee4807d0,repo_summary.json
186,yanll,YP-GPT,6df9f79f694ba4aaf0dc84867cd44e66c062c99f,repo_summary.json
187,uukuguy,DB-GPT-Lite,d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,repo_summary.json
188,ymcui,Chinese-LLaMA-Alpaca-2,main,repo_summary.json
189,yoheinakajima,babyagi,3532f987744e9254afacc254e3325d1910c0651d,repo_summary.json
190,yujiosaka,ChatIQ,def21481b0c132173b51d1d7a314b103db324ca2,repo_summary.json
191,yvann-hub,Robby-chatbot,5beb6894c8ba0d0b67188ba2be568a2a22a00491,repo_summary.json
192,zhayujie,chatgpt-on-wechat,master,repo_summary.json
193,ymcui,Chinese-LLaMA-Alpaca,main,repo_summary.json
194,xorbitsai,inference,main,repo_summary.json
195,zilliztech,GPTCache,main,repo_summary.json
196,zhjunqin,Langchain-Chatchat-InternLM,761f0bc3a94ccdda9970761b6c769c7e0537e2e8,repo_summary.json
197,run-llama,llama_index,main,repo_summary.json
198,containers,ramalama,662b93d6837b39cb9f3a49330e76d89a4bb53b26,repo_summary.json
199,unslothai,unsloth-zoo,7910c9211fa053ef7a31b8662738be70a7da9db5,repo_summary.json
200,confident-ai,deepeval,847e12c6f59aaf4b1ed5d908af9b7da7e1232263,repo_summary.json
201,RLinf,RLinf,921b60326e738c8632fdab58f49d42d58f605876,repo_summary.json
202,ROCm,ATOM,958f0e6e90724679dddd8dc246d7f86209ec8582,repo_summary.json
203,instructlab,training,c495035075cbda242b7ff3fdccb51bf478142932,repo_summary.json
204,ai-dynamo,dynamo,aaed4f3b873aee186dfa176709b850a1234d32b4,repo_summary.json
205,casinca,LLM-quest,a2c5328033a10391f7a92519b7daa69b020c44da,repo_summary.json
206,Lightning-AI,litgpt,df94ee2cae47d8d2fb20815c175e98fd1f64a27a,repo_summary.json
207,NVIDIA,Model-Optimizer,b286165362317940fb11bef02e1cad183ad22acb,repo_summary.json
208,unslothai,notebooks,b9224375ef697bdb67444f6b31a0859a6dcdd34e,repo_summary.json
209,skypilot-org,skypilot,a3f153cec4ceb060832c9c17a1c9697c95a580be,repo_summary.json
210,xiaozhuABCD1234,AutoAnswer_zhihuishu,ad51d0c48d97ba042d955bfe0b0e801941a64fb4,repo_summary.json
211,volcengine,verl,249c0831b793751f488d80bcfeafb8f7c544cd65,repo_summary.json
212,intel,auto-round,6723ef0aec7026c0ea38ce156aafbd25a9a0eadb,repo_summary.json
213,huggingface,smolagents,c537327086e9264d7affd6e79967b05ce17731be,repo_summary.json
214,Technologicat,raven,a52af3d88a75ea65f1b83006a0a62e4b45ea465b,repo_summary.json
215,NexaAI,nexa-sdk,41e98bfc442c21ce503cd48f8fad6a5e4b53c3e1,repo_summary.json
216,THUDM,slime,b23fcd10f4eecb465e301b46eeb974080b6266c1,repo_summary.json
217,epam,ai-dial-adapter-bedrock,b110bd99865c13f30f3b2827325f3445bfacbda5,repo_summary.json
218,ServerlessLLM,ServerlessLLM,57018d310c737d59a57e0171484b0a9f676fdef9,repo_summary.json
219,ByteDance-Seed,VeOmni,889cb3379a1143f4aa178ff55dbb3b1bcb788135,repo_summary.json
220,gty111,gLLM,a17b1b0107343305cb2137c27b223301c9e89548,repo_summary.json
221,SkastVnT,AI-Assistant,49692e858f31fe68c385b8e9404c0e9657a2980e,repo_summary.json
222,ModelCloud,GPTQModel,5b568257e2a662ce396401a65dcad7dd4f26726f,repo_summary.json
223,flagos-ai,FlagScale,528cea1680556b85f88b55170dd1d5de472d3373,repo_summary.json
224,zstar1003,FreePDF,d0ddd9632a49fe7957d93fd6375412afd186beee,repo_summary.json
225,gpustack,gpustack,543c80bc5f80f820fb7a1cd805086798173f265e,repo_summary.json
226,ml-rust,splintr,b5d9df683dcc2bfafe2a055ec0745f413d5cffc3,repo_summary.json
227,getzep,graphiti,cb53cd1b08485855a0117a63e4fa363033f815f0,repo_summary.json
228,muzahid59,gai,d3a6c91d210645ee783458f312177a188f8f039f,repo_summary.json
229,intel,intel-xpu-backend-for-triton,339dbba19a7ffe1229c0a96827b3be9b4f967150,repo_summary.json
230,GradientHQ,parallax,717b7f972cfa6a1e845576ec4f69a10c9718f7c0,repo_summary.json
231,HakAl,scrappy,2eded1f5617a24821c44017b8554951c2ed1a67c,repo_summary.json
232,ucsb-mlsec,VulnLLM-R,cf4759373dd83235399cc0aad5e6896e7b07d6ac,repo_summary.json
233,microsoft,Olive,7c5b3b8c947311ebfb3fe4efe2b733719d6ebc93,repo_summary.json
234,monologg,nlp-arxiv-daily,b49977bd5a222d56ee3472d8858fda427411b3e2,repo_summary.json
235,princeton-pli,hal-harness,caaa72c7f2bb13799064090463cbe86ddbb4dd25,repo_summary.json
236,guybrush1984,Elelem,85048dcbb21cbd70c176fc734e707625fa4a2674,repo_summary.json
237,igeniusai,domyn-swarm,d93be70eddc7fa709afbdefea5d84726205676f1,repo_summary.json
238,AI-Hypercomputer,maxtext,bc53aaa15c78d74179f79f4f302d2f8ec66ebdce,repo_summary.json
239,rasbt,reasoning-from-scratch,abab144ec2cb405c76bea0fbb2d489f9d13fac76,repo_summary.json
240,JusticeRage,Gepetto,9b3f12b1d4e92851f5ad69a7ea2f45cdc733e47c,repo_summary.json
241,huggingface,doc-builder,35919cd53066035041ec232f22fe55f593feece4,repo_summary.json
242,Bessouat40,RAGLight,211a8d986c22da6d46db98302ee77653327495b5,repo_summary.json
243,intel,neural-compressor,eb7c1e377d93e577c3179c0f76b4c8fc7b1fea9c,repo_summary.json
244,ArtificialAnalysis,Stirrup,e8ae0bf6fbd22a0ffb763839b8f6324821881acc,repo_summary.json
245,aws,sagemaker-hyperpod-recipes,38c1578a18dd1f39727ac166d77e9be89859431e,repo_summary.json
246,deepforestsci,DeepRetro,8fe24f6df7fec15371c396e25ce932bf2da51fa5,repo_summary.json
247,neverbiasu,hf-mirror-hub,8aaa1557dfd85a9ecb0cadf06f390379452ae0b2,repo_summary.json
248,clp-research,clemcore,a8ad2967a65d239691c0313843e064ea57022983,repo_summary.json
249,Lightning-AI,lightning-thunder,a0d03353130895891ae151f928a9e61ccaa90148,repo_summary.json
250,lemony-ai,cascadeflow,c6554a2bf9a7db4f7545da3c8b7d1630bb1b81fe,repo_summary.json
251,qtalen,agentic-ai-playground,dd618c69ea02e06e4b75549bd0b3d5225b790938,repo_summary.json
252,zyddnys,manga-image-translator,a537cb12b41daf2065795058c2753d87e73fa0fe,repo_summary.json
253,michaelpradel,Testora,8c5b410dd30925b65b0f3907384bd993bcacbd38,repo_summary.json
254,aliasrobotics,cai,da1c6202e5857494a1968937c60c5030467dcabd,repo_summary.json
255,zldscr0,SENT,2a7c40fa77ea3ce882534a30a1029db06d561825,repo_summary.json
256,lfnovo,open-notebook,65166d4d2a2ff9295c5ed4a1d3db5d9124e40615,repo_summary.json
257,RamboRogers,mlx-gui,96b0913f13b6f857d9df84a72901b221c2ca1f81,repo_summary.json
258,IntelLabs,LLMart,c42b1b714be912195de2e506abb38bea55a41850,repo_summary.json
259,princeton-ddss,blackfish,f03c0cb1c1a24231e23b73d10997797ed459efe7,repo_summary.json
260,hiyouga,EasyR1,4d13ebe55ad75230305e58a3e9cf48cd58042258,repo_summary.json
261,scicode-bench,SciCode,e3158ea011d4235245a547460d3688d7ccbf9900,repo_summary.json
262,Open-Technology-Foundation,customkb,950c7791d40e04cc375018539a9a3bfe9b19c697,repo_summary.json
263,terrierteam,pyterrier_rag,e2447079281f0131cd180f18f12e30574ab17c5c,repo_summary.json
264,alejandro-ao,open-deep-research-w-firecrawl,6f38ba6e562ac67423516d8e1187ac31bb9724c5,repo_summary.json
265,thu-nics,R2R,a7789ff551fa92dca1b6b3120fbcbe8461c5b5a6,repo_summary.json
266,firstbatchxyz,inference-arena,001438745bf2006b8fabde8f18837632ed571e2e,repo_summary.json
267,arcee-ai,DistillKit,2203a0f96868691cd238dda2897541e6219254ff,repo_summary.json
268,jonigl,mcp-client-for-ollama,09796eb3fb38cdb5eb0578ee98cb13eb9f423cb2,repo_summary.json
269,aradlein,hass-agent-llm,2a3d75aae2cf588909f6f2cdf99efde544f5b928,repo_summary.json
270,volcengine,ai-app-lab,423c8216acf9897a1eee632341969129477cc154,repo_summary.json
271,agentuniverse-ai,agentUniverse,d11c8f4e2ff4c9b8f9a0a7f5f796f16b9f24affd,repo_summary.json
272,Marcus-Forte,learning-mcp,be4e7840581a7f6b99fea2430dc4a92bac5ba540,repo_summary.json
273,cubist38,mlx-openai-server,5ccbd997fcbfbb2b974121147a04dfb214c9ed83,repo_summary.json
274,JY0284,zizhitongjian,832a3861cdf100d8cd0899a1df515beefb7c92b7,repo_summary.json
275,AzisK,Zpace,0d34fd41cb090bc33ea8b215fb605f91d7100be5,repo_summary.json
276,willxxy,ECG-Bench,99e3e78eb63a0ee88e3080a9f4fce59143b15423,repo_summary.json
277,zhihao1998,LLM4NetLab,8f765707beced9eaf193dfd9341f064c2079cbd9,repo_summary.json
278,jeankassio,JK-AceStep-Nodes,060845845cd1a0163954d678e3dfcdf021af98c7,repo_summary.json
279,matsonj,based-eval,ce8d8d6a976e05f7c713cf4dcffec2d881088886,repo_summary.json
280,LiveBench,LiveBench,366e385d1ff6ad90ddeeb3644f1d72b2f7c6c324,repo_summary.json
281,openvinotoolkit,openvino_tokenizers,60a9e5067e434b8721719479f2e1eb750ae7bd81,repo_summary.json
282,yhzhu99,ehr-llm-benchmark,d413e70e7fa29ee5cd815ec87276be7eb1526aef,repo_summary.json
283,Sarthak-Sidhant,redstalk,208719537e2a42df953f7754ac08edb2d902c52e,repo_summary.json
284,szeider,consult7,99e3fa8003635e5287bf1963e16cb3f3713c4655,repo_summary.json
285,stair-lab,kg-gen,63726f4d1262b947423d9818ebb8ce16a20a7c1f,repo_summary.json
286,omarkamali,borgllm,8f3aefdaef172393b1520baba177cc6170ba464e,repo_summary.json
287,canivel,axiom-rl,5454e4d702196d0f8db9a35384ab0bc5b033369f,repo_summary.json
288,chflame163,ComfyUI_LayerStyle_Advance,18435772d12ac59e98dfb2555ad380359c6efd9f,repo_summary.json
289,dmzoneill,jira-creator,861d47f6ebfe34a44e72b399df5e595b0611d487,repo_summary.json
290,facebookresearch,matrix,16ecee48f3433878ac0495737ee1ecf4b3e02e59,repo_summary.json
291,aidatatools,ollama-benchmark,1ff542b44597c3692dd3ea4569fd2619a61e31a9,repo_summary.json
292,laxmimerit,MCP-Mastery-with-Claude-and-Langchain,8d95c93b5b8dfad6ce1717f851625ad128c2dd79,repo_summary.json
293,Jilliansea,TinyZeroWithSFT,1fe50777fc1b6b441058a4ae35e5514a7036e8bf,repo_summary.json
294,daekeun-ml,ipynb-translator,361a1f5cf81812fe29ca376cd3d51e2c247a8cd6,repo_summary.json
295,yytdfc,llm-performance-viz,35acb42d1905189d3c08f94a2d70bf2e96ffecaa,repo_summary.json
296,1789336421,Omni-Mol,8a9426d9a14d52efaf70942e79dc2819cf204f0c,repo_summary.json
297,nebHailemariam,deepseek-mini,1ed90eba7700de4f5a0ffdb9eedea970f54ccfbf,repo_summary.json
298,danielcamposramos,Knowledge3D,274cf368b822e370903b7f97132e242a8c3c06c7,repo_summary.json
299,umbertogriffo,rag-chatbot,0cd6309bcd3fc42aa8c225d304b1dd3878c881eb,repo_summary.json
300,ZutJoe,KoalaHackerNews,8001dbe139bd89ded61b1dfde2114b1f1b4bc488,repo_summary.json
301,ai-christianson,RA.Aid,e71bb83dcfdf8796d41c746ad99bf4838d1d5914,repo_summary.json
302,aws-samples,sample_agentic_ai_strands,f93a74c6a235027c01785628c15a37ca25fa5186,repo_summary.json
303,GalTransl,GalTransl,89aee00f7fb4ffd681dc056dc7fb4b26fa64d783,repo_summary.json
304,openai,mle-bench,0701d35efea165fb184e924861234c05e9dff4ab,repo_summary.json
305,openaiotlab,ContextAgent,f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,repo_summary.json
306,bf-yang,ContextAgent,f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,repo_summary.json
307,Kurt232,RLKV,03a4c4d4f396cf912d4dad982b26625f0efefccd,repo_summary.json
308,nrl-ai,llama-assistant,d06708e16f76c5d43c688769980360735d0dbba2,repo_summary.json
309,hailsham,mcpverse,982f66cab6112a50536a83eb84053c88245e814f,repo_summary.json
310,sailself,TelegramGroupHelperBot,2516740b56578ae81540f02920dd959623c79a54,repo_summary.json
311,Azure-Samples,deepseek-python,5d191c114045a8709baf13be95025463cba7af10,repo_summary.json
312,codedog-ai,codedog,a1702a4ab933c7c071318e688a5a3b6948b423d0,repo_summary.json
313,DIGIT-X-Lab,MOSAICX,b1cf7ddd60f9d34be535d0493fbf9b5d324de592,repo_summary.json
314,NikolasEnt,ollama-webui-intel,3eebfd300b36f2c8fcda00d98b48b66a7c423e2c,repo_summary.json
